split,model,rmse_ret_bp,mae_ret_bp,rmse_close_pip,mae_close_pip,mape_close,dir_acc_pct
val,naive_last_value,9.615983712100066,6.322783498484268,10.391682449511524,6.835191749919455,0.0632291128622379,0.0
val,drift,9.616283431865622,6.323203895944962,10.391987260231453,6.835642112196116,0.0632330590726907,49.81346309813463
val,seasonal_naive_24h,13.67482059580644,9.139282727241769,14.77209048288968,9.877093587926424,0.0913946240816677,49.94322789943228
val,seasonal_naive_168h,13.491833788948943,9.100131842274102,14.58981584951831,9.838594535225347,0.0910034314764911,50.59205190592052
val,ma_24h,9.81554729702802,6.582021247916824,10.60726643939147,7.115463421648283,0.0658220748579493,50.02433090024331
val,ar(1),9.61672128133048,6.32250239674152,10.39245627098047,6.834888739354893,0.0632260517463771,50.36496350364964
test,naive_last_value,9.125583451959924,5.79095728432366,10.062801914355484,6.401362507012907,0.0579046182034813,0.0
test,drift,9.125829580822865,5.791461115358698,10.06307220792606,6.4019180838448015,0.0579095126586577,49.65667662977624
test,seasonal_naive_24h,12.845317947862354,8.422548762869386,14.172951207951622,9.309553847365745,0.0842193656739921,50.52104370304548
test,seasonal_naive_168h,12.807443787286967,8.51281717626769,14.13695815410868,9.411341506997276,0.0851318726036407,49.72938040229421
test,ma_24h,9.302123578920332,6.009451907897357,10.25797564258855,6.642498358054491,0.0600917935867262,49.91517893206237
test,ar(1),9.124670565607468,5.7905418073169965,10.061846160097785,6.400902957466161,0.0579002775503989,49.93941352290169
val,random_forest,9.605051684793432,6.317476595786815,10.458262771167448,6.975093433763065,0.06452177113588642,51.59772911597729
test,random_forest,9.138609434938955,5.792222794836788,10.138532358318388,6.5466005751311585,0.059214799228706004,51.34108902892228
val,xgboost,9.60642673044797,6.316243748414693,10.467512219189201,7.006703285503663,0.06481373178443774,51.889699918897
test,xgboost,9.147015273304357,5.790808792350965,10.16868326539445,6.568141198570091,0.059405522064908255,51.52690256907416
val,lightgbm,9.61010695787768,6.3161454559677646,10.4920009213291,7.01297817446422,0.06487221963893423,52.08434712084347
test,lightgbm,9.155334937498507,5.7952988643700705,10.183322366190719,6.559380255643107,0.059320537572266116,51.27645823234771
